iter	Logloss
0	0.6884322418
1	0.6851216452
2	0.6823326671
3	0.6781411744
4	0.6753331301
5	0.6723241367
6	0.6696383667
7	0.6656990057
8	0.6626109933
9	0.6595904076
10	0.6560431229
11	0.6520085086
12	0.6488794215
13	0.645720995
14	0.6421284471
15	0.6389075941
16	0.6353021125
17	0.632510273
18	0.6300136429
19	0.6266556573
20	0.6237518305
21	0.6215696582
22	0.6189882329
23	0.6161303613
24	0.6126863712
25	0.6092858325
26	0.6060346005
27	0.6029159954
28	0.5997667306
29	0.5967674455
30	0.5944591754
31	0.5916029704
32	0.5889587793
33	0.586478025
34	0.583562865
35	0.5807562875
36	0.5778762544
37	0.5757582157
38	0.5730834628
39	0.5707764953
40	0.5676350769
41	0.5652946665
42	0.5620601875
43	0.5597060481
44	0.557435509
45	0.5554790499
46	0.553680354
47	0.5515685171
48	0.5489592775
49	0.5471163762
50	0.5447239255
51	0.5423576078
52	0.5401912242
53	0.5379253728
54	0.5356577878
55	0.533897926
56	0.5314451272
57	0.529572855
58	0.5270887992
59	0.5255399103
60	0.5232808446
61	0.5208515255
62	0.519366109
63	0.5174521229
64	0.5151019252
65	0.5126575135
66	0.5116742318
67	0.5095645021
68	0.5072426458
69	0.5049168718
70	0.5024449171
71	0.5005566969
72	0.4979792633
73	0.4962700029
74	0.4943518451
75	0.4925776955
76	0.4906370389
77	0.4887495265
78	0.4866706121
79	0.484999243
80	0.4828851332
81	0.4808693183
82	0.479092727
83	0.4775550769
84	0.4753216638
85	0.4733595771
86	0.4718966067
87	0.4704943741
88	0.468931399
89	0.4674486549
90	0.4657606595
91	0.4639618053
92	0.4631261552
93	0.4613792693
94	0.4597045092
95	0.4578367335
96	0.4559379834
97	0.4547215816
98	0.4541621976
99	0.4523341466
100	0.4512071045
101	0.4496715507
102	0.447793916
103	0.4461050945
104	0.4444909229
105	0.4428004426
106	0.4412531187
107	0.4395146503
108	0.4383132864
109	0.4366208904
110	0.4358131721
111	0.4344060533
112	0.4332402124
113	0.4316267981
114	0.430064708
115	0.4286647853
116	0.427500357
117	0.4260935229
118	0.4248526436
119	0.4232162511
120	0.421957408
121	0.4200760996
122	0.4185126547
123	0.4172348401
124	0.4159298231
125	0.4147029389
126	0.4135257353
127	0.4122047856
128	0.4109417642
129	0.4096756669
130	0.4083690882
131	0.4068099804
132	0.4056066117
133	0.4046765661
134	0.4033452961
135	0.4020828468
136	0.4005427041
137	0.3989770549
138	0.397931459
139	0.3969248886
140	0.3957398311
141	0.3942739399
142	0.3930451044
143	0.3916369375
144	0.3904740409
145	0.3893808859
146	0.3878061601
147	0.3862115278
148	0.3847429928
149	0.3833867597
150	0.3822719004
151	0.3808657383
152	0.37977051
153	0.3784872907
154	0.3774217101
155	0.376400232
156	0.3756389609
157	0.3746889698
158	0.3737997153
159	0.3735739994
160	0.372371922
161	0.3715149071
162	0.3703037835
163	0.3695761987
164	0.3685939806
165	0.3673267803
166	0.3661782386
167	0.3654746962
168	0.3645466896
169	0.3633670251
170	0.3621494819
171	0.3612444331
172	0.360464155
173	0.3594552394
174	0.3579818442
175	0.3571495477
176	0.3560815811
177	0.3552375019
178	0.3544623541
179	0.3534641254
180	0.352294357
181	0.3519019541
182	0.3510813552
183	0.3495217404
184	0.3487785164
185	0.3479975301
